Title,nbrAvis,specialite,ranking,overallRating,wifi,livraison,prix,Latitude,Longitude,district
 
le Neuvième Art,626 avis ,Française  Européenne  Végétariens bienvenus,Nº 1 sur 3 058 Restaurants à Lyon,5.0 ,yes,yes,85 € -145 €,45.76849365234375,4.85646390914917,69006  Lyon  
Aromatic,601 avis ,Française  Européenne  Végétariens bienvenus,Nº 2 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,18 € -41 €,45.77438735961914,4.830961227416992,69004  Lyon  
Le Boeuf d'Argent,482 avis ,Française  Européenne  Végétariens bienvenus,Nº 3 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.76266098022461,4.826900005340576,69005  Lyon  
Le Comptoir des Cousins,205 avis ,Française  Européenne  Sud-américaine,Nº 4 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,13 € -28 €,45.76849365234375,4.85646390914917,69006  Lyon  
Le Book-Lard,204 avis ,Française  Brasserie gastronomique  Végétariens bienvenus,Nº 5 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,13 € -40 €,45.76708984375,4.845279216766357,69006  Lyon  
L'Archange,946 avis ,Française  Européenne,Nº 6 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.76845932006836,4.827991008758545,69001  Lyon  
Le Musée ,1 406 avis ,Française,Nº 7 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.76485824584961,4.833683013916016,69002  Lyon  
Epicurius,91 avis ,Méditerranéenne  Végétariens bienvenus,Nº 8 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no informations,45.76605987548828,4.8321309089660645,69001  Lyon  
Cercle Rouge,111 avis ,Française  Internationale  Barbecue/Grillades,Nº 9 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,12 € -35 €,45.76668930053711,4.837160110473633,69001  Lyon  
Le Zeste Gourmand,91 avis ,Française,Nº 10 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,28 € -62 €,45.76849365234375,4.85646390914917,69006  Lyon  
Les Saveurs Du Bistrot,294 avis ,Française  Européenne,Nº 11 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,14 € -25 €,45.768924713134766,4.856989860534668,69006  Lyon  
Le Suprême,203 avis ,Française  Européenne  Brasserie gastronomique,Nº 12 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no informations,45.75132751464844,4.855055809020996,69007  Lyon  
Flair,636 avis ,Française  Européenne  Internationale,Nº 13 sur 3 058 Restaurants à Lyon,4.5 ,no,no,16 € -44 €,45.74928665161133,4.829628944396973,69002  Lyon  
La Bouteillerie,281 avis ,Française  Bar à vins,Nº 14 sur 3 058 Restaurants à Lyon,4.5 ,no,no,12 € -23 €,45.76845932006836,4.827991008758545,69001  Lyon  
L'Instant Fromage,533 avis ,Française  Végétariens bienvenus,Nº 15 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,2 € -25 €,45.75538635253906,4.830474853515625,69002  Lyon  
Cafe Luna,183 avis ,Française  Méditerranéenne  Européenne,Nº 16 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,7 € -18 €,45.759132385253906,4.823150157928467,69005  Lyon  
Bmd,204 avis ,Française  Bar à vins,Nº 17 sur 3 058 Restaurants à Lyon,4.5 ,no,no,9 € -25 €,45.76337432861328,4.827271938323975,69005  Lyon  
Takao Takano,658 avis ,Française  Européenne,Nº 18 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.769676208496094,4.8437042236328125,69006  Lyon  
L'émulsion,211 avis ,Française  Moderne  Diner,Nº 1 sur 22 Restaurants à Chassieu,4.5 ,yes,no,18 € -25 €,45.7376823425293,4.968141078948975,69680 Chassieu  Lyon  
Burgundy Lounge,676 avis ,Française  Européenne  Végétariens bienvenus,Nº 20 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,29 € -95 €,45.761531829833984,4.832685947418213,69002  Lyon  
Le Comptoir Des Copains,125 avis ,Française  Végétariens bienvenus,Nº 21 sur 3 058 Restaurants à Lyon,4.5 ,no,no,11 € -15 €,45.76654815673828,4.83282995223999,69001  Lyon  
Le Poivron Bleu,434 avis ,Française  Européenne,Nº 22 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.768924713134766,4.856989860534668,69006  Lyon  
Danton...restaurant,646 avis ,Française  Européenne,Nº 23 sur 3 058 Restaurants à Lyon,4.5 ,no,no,21 € -47 €,45.75603485107422,4.85908317565918,69003  Lyon  
L'Atelier Côté Rhône,247 avis ,Française  Bar à vins  Européenne,Nº 24 sur 3 058 Restaurants à Lyon,4.5 ,no,no,Bar à vins,45.75843811035156,4.841518878936768,69003  Lyon  
Le Tiroir,105 avis ,Française  Moderne  Pub,Nº 25 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,16 € -40 €,45.77445983886719,4.808450222015381,69009  Lyon  
Miko Sushi,424 avis ,Japonaise  Sushi  Asiatique,Nº 26 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.75627136230469,4.8627471923828125,69003  Lyon  
L'inaTTendu,424 avis ,Française  Européenne,Nº 27 sur 3 058 Restaurants à Lyon,4.5 ,no,no,16 € -45 €,45.76849365234375,4.85646390914917,69006  Lyon  
L'ARGOT Boucherie Restaurant,606 avis ,Française  Steakhouse  Européenne,Nº 28 sur 3 058 Restaurants à Lyon,4.5 ,no,no,15 € -30 €,45.76849365234375,4.85646390914917,69006  Lyon  
Le Desjeuneur,154 avis ,Moderne  Française  Café,Nº 29 sur 3 058 Restaurants à Lyon,4.5 ,no,no,4 € -16 €,45.77438735961914,4.830961227416992,69001  Lyon  
Tracteur et Bigoudis,132 avis ,Française,Nº 1 sur 204 Restaurants à Villeurbanne,4.5 ,yes,no,12 € -19 €,45.779048919677734,4.874722957611084,69100 Villeurbanne  Lyon  
Bouchon Des Cordeliers,692 avis ,Française  Européenne,Nº 31 sur 3 058 Restaurants à Lyon,4.5 ,no,no,15 € -25 €,45.76668930053711,4.837160110473633,69002  Lyon  
Au Petit Bouchon Chez Georges,669 avis ,Française  Européenne,Nº 32 sur 3 058 Restaurants à Lyon,4.5 ,no,no,22 € -34 €,45.76668930053711,4.837160110473633,69001  Lyon  
Himalia,119 avis ,Italienne  Pizza  Végétariens bienvenus,Nº 33 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,8 € -15 €,45.751338958740234,4.830699920654297,69002  Lyon  
Manto,322 avis ,Française  Chinoise  Asiatique,Nº 34 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76629638671875,4.831736087799072,69001  Lyon  
Guy Lassausaie,701 avis ,Française  Européenne,Nº 35 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.838279724121094,4.772992134094238,69380  Lyon  
Au 14 Fevrier Vieux Lyon,449 avis ,Française,Nº 36 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.759132385253906,4.823150157928467,69005  Lyon  
La Mere Brazier,835 avis ,Française  Européenne  Plats sans gluten,Nº 37 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76668930053711,4.837160110473633,69001  Lyon  
Gourmix,574 avis ,Française  Restauration rapide  Européenne,Nº 38 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,no information,45.76605987548828,4.8321309089660645,69001  Lyon  
Le Gourmet de Sèze,498 avis ,Française  Européenne,Nº 39 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,39 € -120 €,45.76849365234375,4.85646390914917,69006  Lyon  
Les Caprices de Sophie,123 avis ,Française  Européenne,Nº 40 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.758689880371094,4.816595077514648,69005  Lyon  
Italia e Sapore,409 avis ,Italienne  Pizza  Méditerranéenne,Nº 41 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76848602294922,4.8462090492248535,69006  Lyon  
L'Oenothèque de Lyon,273 avis ,Diner  Française,Nº 42 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,11 € -34 €,45.77438735961914,4.830961227416992,69004  Lyon  
Cuisine en Ville,189 avis ,Française  Halal,Nº 2 sur 204 Restaurants à Villeurbanne,4.5 ,yes,no,12 € -20 €,45.770782470703125,4.86366081237793,69100 Villeurbanne  Lyon  
LE 126,231 avis ,Française  Européenne,Nº 44 sur 3 058 Restaurants à Lyon,4.5 ,no,no,16 € -25 €,45.768924713134766,4.856989860534668,69006  Lyon  
Chez Lucien - Bistrotier,118 avis ,Française  Européenne  Diner,Nº 45 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,13 € -32 €,45.77438735961914,4.830961227416992,69004  Lyon  
Mamamia Pizza,567 avis ,Italienne  Pizza  Européenne,Nº 46 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.73798751831055,4.837673187255859,69007  Lyon  
L'Institut Restaurant,493 avis ,Française  Européenne  Végétariens bienvenus,Nº 47 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75639343261719,4.833347797393799,69002  Lyon  
Vieille Canaille,214 avis ,Française  Végétariens bienvenus,Nº 48 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,12 € -30 €,45.748775482177734,4.8430280685424805,69007  Lyon  
Casa Iberica,140 avis ,Européenne  Espagnole  Portugaise,Nº 49 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.73283767700195,4.823273181915283,69007  Lyon  
Miraflores,220 avis ,Péruvienne  Moderne  Fusion,Nº 50 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,70 € -115 €,45.76968002319336,4.850240230560303,69006  Lyon  
Rose Indien,227 avis ,Indienne  Asiatique  Végétariens bienvenus,Nº 51 sur 3 058 Restaurants à Lyon,4.5 ,no,no,15 € -30 €,45.77476119995117,4.805241107940674,69009  Lyon  
Wasabi,345 avis ,Japonaise  Sushi  Asiatique,Nº 52 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.748775482177734,4.8430280685424805,69007  Lyon  
Mamasan,115 avis ,Asiatique  Vietnamienne  Végétariens bienvenus,Nº 53 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,18 € -33 €,45.76097869873047,4.836517810821533,69002  Lyon  
Jeremy Galvan Restaurant,682 avis ,Française  Européenne  Végétariens bienvenus,Nº 54 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76266098022461,4.826900005340576,69005  Lyon  
Jumble,124 avis ,Française  Végétariens bienvenus  Choix végétaliens,Nº 55 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.74923324584961,4.838592052459717,69007  Lyon  
REM'S PUB,157 avis ,Américaine  Végétariens bienvenus,Nº 56 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.74361038208008,4.8259100914001465,69002  Lyon  
L'Atelier des Augustins,289 avis ,Française  Européenne  Végétariens bienvenus,Nº 57 sur 3 058 Restaurants à Lyon,4.5 ,no,no,19 € -39 €,45.76629638671875,4.831736087799072,69001  Lyon  
La Gamelle de Montchat,130 avis ,Française,Nº 58 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75360107421875,4.891839981079102,69003  Lyon  
Le Passe Temps,284 avis ,Française  Européenne,Nº 59 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,33 € -85 €,45.76968002319336,4.850240230560303,69006  Lyon  
Carré Royal,208 avis ,Française,Nº 60 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,32 € -47 €,45.76668930053711,4.837160110473633,69001  Lyon  
La Scala Siciliana,582 avis ,Italienne  Pizza  Européenne,Nº 63 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75843811035156,4.841518878936768,69003  Lyon  
L'Acteur,238 avis ,Française  Européenne,Nº 62 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.759883880615234,4.831785202026367,69002  Lyon  
Le Passe Temps,284 avis ,Française  Européenne,Nº 59 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,33 € -85 €,45.76968002319336,4.850240230560303,69006  Lyon  
La Maison Marie,657 avis ,Française  Européenne  Végétariens bienvenus,Nº 64 sur 3 058 Restaurants à Lyon,4.5 ,no,no,20 € -50 €,45.76386260986328,4.83341121673584,69002  Lyon  
ZAPPO,311 avis ,Italienne  Pizza  Méditerranéenne,Nº 65 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,15 € -19 €,45.7290153503418,4.830063819885254,69007  Lyon  
La Table 101,357 avis ,Française  Européenne,Nº 66 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76148223876953,4.8498148918151855,69003  Lyon  
L'Etoile d'Asie,217 avis ,Asiatique  Vietnamienne  Végétariens bienvenus,Nº 67 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75194549560547,4.840252876281738,69007  Lyon  
Restaurant Saisons,236 avis ,Française  Européenne,Nº 1 sur 26 Restaurants à Ecully,4.5 ,no,no,no information,45.78007888793945,4.77896785736084,69130 Ecully  Lyon  
Les Terrasses de Lyon,702 avis ,Française  Européenne  Végétariens bienvenus,Nº 69 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76301574707031,4.825872898101807,69005  Lyon  
Arsenic Restaurant,515 avis ,Française  Européenne  Moderne,Nº 70 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75843811035156,4.841518878936768,69003  Lyon  
Pointe de Reve,178 avis ,Française  Végétariens bienvenus,Nº 3 sur 204 Restaurants à Villeurbanne,4.5 ,no,no,no information,45.779048919677734,4.874722957611084,69100 Villeurbanne  Lyon  
L'Amboise,117 avis ,Française  Européenne,Nº 72 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.759883880615234,4.831785202026367,69002  Lyon  
L'artiste et le cuisinier,212 avis ,Française  Européenne  Internationale,Nº 74 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77438735961914,4.830961227416992,69004  Lyon  
Ti amo Maria,121 avis ,Italienne  Pizza  Méditerranéenne,Nº 73 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,10 € -16 €,45.745304107666016,4.822752952575684,69002  Lyon  
Petit Ogre,407 avis ,Diner  Végétariens bienvenus,Nº 75 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,21 € -32 €,45.75737762451172,4.858113765716553,69003  Lyon  
Saku Restaurant,81 avis ,Française  Végétariens bienvenus,Nº 76 sur 3 057 Restaurants à Lyon,5.0 ,no,no,no information,45.75132751464844,4.855055809020996,69007  Lyon  
Hong Ha,270 avis ,Asiatique  Vietnamienne  Végétariens bienvenus,Nº 78 sur 3 058 Restaurants à Lyon,4.5 ,no,yes,12 € -28 €,45.76337432861328,4.827271938323975,69005  Lyon  
notre maison,585 avis ,Française,Nº 79 sur 3 058 Restaurants à Lyon,4.5 ,no,no,29 € -40 €,45.76475143432617,4.8271870613098145,69005  Lyon  
Les Trois Dômes,694 avis ,Française  Européenne  Végétariens bienvenus,Nº 80 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,no information,45.754425048828125,4.834312915802002,69002  Lyon  
Les Loges,425 avis ,Française  Européenne  Traiteur,Nº 81 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,30 € -120 €,45.76337432861328,4.827271938323975,69005  Lyon  
Les Adrets,540 avis ,Française,Nº 82 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76266098022461,4.826900005340576,69005  Lyon  
Les Vieux Garçons,144 avis ,Française  Bar à bières  Bar,Nº 76 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,8 € -16 €,45.74464416503906,4.825779914855957,69002  Lyon  
La Gargotte,809 avis ,Française  Végétariens bienvenus,Nº 85 sur 3 058 Restaurants à Lyon,4.5 ,no,no,22 € -26 €,45.76668930053711,4.837160110473633,69001  Lyon  
La Cuisinerie,259 avis ,Française  Européenne  Végétariens bienvenus,Nº 83 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.759132385253906,4.823150157928467,69005  Lyon  
Pani JO,419 avis ,Italienne  Pizza  Méditerranéenne,Nº 84 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,9 € -16 €,45.74885177612305,4.839950084686279,69007  Lyon  
Sabaï Sabaï,61 avis ,Cuisine de rue (street food)  Asiatique  Thaï,Nº 86 sur 3 058 Restaurants à Lyon,5.0 ,no,yes,3 € -7 €,45.76668930053711,4.837160110473633,69001  Lyon  
Mr Edgar,219 avis ,Française  Européenne  Végétariens bienvenus,Nº 87 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77438735961914,4.830961227416992,69004  Lyon  
Crêperie Praline et Fleur de Sel,176 avis ,Française  Bar à bières  Bar,Nº 89 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,10 € -20 €,45.7371711730957,4.83736515045166,69007  Lyon  
BLO restaurant,52 avis ,Française  Steakhouse  Grillades,Nº 126 sur 3 058 Restaurants à Lyon,5.0 ,yes,yes,10 € -112 €,45.751338958740234,4.830699920654297,69002  Lyon  
L'Ebullition,188 avis ,Française  Européenne,Nº 90 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76629638671875,4.831736087799072,69001  Lyon  
Le Roi Falafel,242 avis ,Libanaise  Méditerranéenne  Moyen-Orient,Nº 91 sur 3 058 Restaurants à Lyon,4.5 ,no,yes,11 € -20 €,45.76097869873047,4.836517810821533,69002  Lyon  
M Restaurant,344 avis ,Française  Européenne,Nº 92 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,19 € -35 €,45.769676208496094,4.8437042236328125,69006  Lyon  
Aux 24 Colonnes  Le Bistrot du Palais.,522 avis ,Française  Européenne,Nº 93 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,32 € -44 €,45.76266098022461,4.826900005340576,69005  Lyon  
Les Retrouvailles,308 avis ,Française,Nº 94 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76266098022461,4.826900005340576,69005  Lyon  
Le Garet,575 avis ,Française,Nº 95 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76668930053711,4.837160110473633,69001  Lyon  
Le Canut et Les Gones,510 avis ,Française,Nº 96 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77438735961914,4.830961227416992,69004  Lyon  
L'Ourson Qui Boit,600 avis ,Française,Nº 97 sur 3 058 Restaurants à Lyon,4.5 ,no,no,19 € -25 €,45.76668930053711,4.837160110473633,69001  Lyon  
Penjabi Grill,115 avis ,Indienne  Pakistanaise  Végétariens bienvenus,Nº 98 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,10 € -20 €,45.76103210449219,4.832007884979248,69002  Lyon  
Balthaz'art,515 avis ,Française  Européenne  Végétariens bienvenus,Nº 99 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77438735961914,4.830961227416992,69001  Lyon  
Brasserie Le Dandy,352 avis ,Française  Brasserie gastronomique  Européenne,Nº 100 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,7 € -29 €,45.763099670410156,4.8345232009887695,69002  Lyon  
PRaiRiaL,361 avis ,Française  Européenne  Végétariens bienvenus,Nº 101 sur 3 058 Restaurants à Lyon,4.5 ,no,no,34 € -88 €,45.76485824584961,4.833683013916016,69001  Lyon  
La mere Jean,816 avis ,Française  Européenne,Nº 102 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75831985473633,4.834630012512207,69002  Lyon  
Bateau Hermes,267 avis ,Française  Végétariens bienvenus,Nº 103 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.749088287353516,4.834219932556152,69007  Lyon  
Veronatuti,75 avis ,Italienne  Végétariens bienvenus,Nº 104 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.746891021728516,4.844983100891113,69007  Lyon  
Merle Huitres Et Coquillages,236 avis ,Française  Fruits de mer & Poisson,Nº 105 sur 3 058 Restaurants à Lyon,4.5 ,no,yes,25 € -180 €,45.76179122924805,4.851607799530029,69003  Lyon  
Carnet Gourmand,177 avis ,Chinoise  Asiatique  Yunnan,Nº 106 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,9 € -20 €,45.76485824584961,4.833683013916016,69001  Lyon  
Le Bistrot D'abel,340 avis ,Française  Bar  Européenne,Nº 107 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,15 € -40 €,45.763099670410156,4.8345232009887695,69002  Lyon  
What's That Food,111 avis ,Restauration rapide  Cuisine de rue (street food)  Végétariens bienvenus,Nº 108 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,9 € -15 €,45.74225997924805,4.876890182495117,69008  Lyon  
Le Marélie,231 avis ,Française  Européenne  Végétariens bienvenus,Nº 109 sur 3 058 Restaurants à Lyon,4.5 ,no,yes,15 € -25 €,45.76148223876953,4.8498148918151855,69003  Lyon  
La Bijouterie,236 avis ,Française  Asiatique  Végétariens bienvenus,Nº 110 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76845932006836,4.827991008758545,69001  Lyon  
Bieristan,161 avis ,Végétariens bienvenus,Nº 4 sur 204 Restaurants à Villeurbanne,4.5 ,no,no,no information,45.769779205322266,4.878946781158447,69100 Villeurbanne  Lyon  
LE PETIT FRÈRE,198 avis ,Française,Nº 112 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,20 € -34 €,45.76849365234375,4.85646390914917,69006  Lyon  
Le Poêlon D'Or,674 avis ,Française  Européenne,Nº 113 sur 3 058 Restaurants à Lyon,4.5 ,no,no,13 € -35 €,45.753108978271484,4.82942008972168,69002  Lyon  
Engimono,233 avis ,Chinoise  Asiatique  Végétariens bienvenus,Nº 114 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75843811035156,4.841518878936768,69003  Lyon  
La Caborne,199 avis ,Française,Nº 1 sur 16 Restaurants à Limonest,4.5 ,no,no,15 € -30 €,45.837669372558594,4.771520137786865,69760 Limonest  Lyon  
Le Jean Moulin,349 avis ,Française  Européenne,Nº 116 sur 3 058 Restaurants à Lyon,4.5 ,no,no,19 € -32 €,45.76668930053711,4.837160110473633,69006  Lyon  
Lyon's Gastro Pub,286 avis ,Française  Bar à bières  Bar,Nº 118 sur 3 057 Restaurants à Lyon,4.5 ,yes,no,no information,45.76485824584961,4.833683013916016,69001  Lyon  
Le Moment,225 avis ,Française,Nº 118 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.7823600769043,4.807030200958252,69009  Lyon  
Franklin's Steakhouse,308 avis ,Barbecue/Grillades  Américaine  Steakhouse,Nº 119 sur 3 058 Restaurants à Lyon,4.5 ,no,no,18 € -89 €,45.751338958740234,4.830699920654297,69002  Lyon  
Café Terroir,205 avis ,no information,Nº 120 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.759883880615234,4.831785202026367,69002  Lyon  
Le PaillerOn,637 avis ,Française  Européenne,Nº 121 sur 3 058 Restaurants à Lyon,4.0 ,no,yes,15 € -40 €,45.77971267700195,4.82665491104126,69004  Lyon  
Two Amigos,238 avis ,Américaine  Mexicaine  Latino,Nº 122 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.752872467041016,4.829164028167725,69002  Lyon  
jour de marché,261 avis ,Française  Européenne,Nº 123 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,18 € -38 €,45.76708984375,4.845279216766357,69006  Lyon  
L'Ange Di Vin,176 avis ,Bar à vins,Nº 124 sur 3 058 Restaurants à Lyon,4.5 ,no,no,Bar à vins,45.76103210449219,4.832007884979248,69002  Lyon  
Victoria Hall,431 avis ,Française  Européenne  Brasserie gastronomique,Nº 125 sur 3 058 Restaurants à Lyon,4.5 ,no,no,22 € -43 €,45.746891021728516,4.844983100891113,69007  Lyon  
BLO restaurant,52 avis ,Française  Steakhouse  Grillades,Nº 126 sur 3 058 Restaurants à Lyon,5.0 ,yes,yes,10 € -112 €,45.751338958740234,4.830699920654297,69002  Lyon  
Substrat Restaurant,209 avis ,Française  Européenne,Nº 127 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77971267700195,4.82665491104126,69004  Lyon  
La Cocagne,162 avis ,Française  Européenne,Nº 128 sur 3 058 Restaurants à Lyon,4.5 ,no,no,10 € -30 €,45.7567024230957,4.841903209686279,69003  Lyon  
Doshilack,115 avis ,Asiatique  Coréenne  Végétariens bienvenus,Nº 129 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75194549560547,4.840252876281738,69007  Lyon  
Tomo,221 avis ,Japonaise  Asiatique,Nº 130 sur 3 058 Restaurants à Lyon,4.5 ,no,no,15 € -55 €,45.76708984375,4.845279216766357,69006  Lyon  
le palais des tajines et des couscous,301 avis ,Marocaine  Méditerranéenne  Moyen-Orient,Nº 131 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,3 € -16 €,45.75132751464844,4.855055809020996,69007  Lyon  
Fiston,864 avis ,Française  Européenne  Végétariens bienvenus,Nº 132 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,6 € -29 €,45.76386260986328,4.83341121673584,69002  Lyon  
Made In Fish,271 avis ,Restauration rapide  Française  Internationale,Nº 133 sur 3 058 Restaurants à Lyon,4.5 ,no,yes,8 € -20 €,45.754268646240234,4.82928991317749,69002  Lyon  
le royal indien,350 avis ,Indienne  Végétariens bienvenus  Choix végétaliens,Nº 134 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,18 € -29 €,45.76527786254883,4.827816963195801,69005  Lyon  
Restaurant Un Deux Trois,850 avis ,Française,Nº 135 sur 3 058 Restaurants à Lyon,4.5 ,no,no,15 € -26 €,45.76266098022461,4.826900005340576,69005  Lyon  
Le Bouchon Sully,146 avis ,Française  Européenne,Nº 137 sur 3 057 Restaurants à Lyon,4.5 ,no,no,22 € -41 €,45.769676208496094,4.8437042236328125,69006  Lyon  
L'Âme Soeur,207 avis ,Française,Nº 137 sur 3 058 Restaurants à Lyon,4.5 ,no,no,20 € -52 €,45.76148223876953,4.8498148918151855,69003  Lyon  
Cosy Corner,239 avis ,Française  Bar  Européenne,Nº 138 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76337432861328,4.827271938323975,69005  Lyon  
La Maison Villemanzy,327 avis ,Française,Nº 139 sur 3 058 Restaurants à Lyon,4.5 ,no,no,31 € -63 €,45.77438735961914,4.830961227416992,69001  Lyon  
Stile Italiano,54 avis ,Italienne  Végétariens bienvenus,Nº 140 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no information,45.75538635253906,4.830474853515625,69002  Lyon  
Les Fines Gueules,571 avis ,Française  Plats sans gluten,Nº 141 sur 3 058 Restaurants à Lyon,4.5 ,no,no,24 € -40 €,45.76527786254883,4.827816963195801,69005  Lyon  
L'atelier du Pizzaiolo,116 avis ,Italienne  Pizza  Végétariens bienvenus,Nº 142 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.741241455078125,4.815425872802734,69002  Lyon  
Pizzeria Napoli Chez Nicolo & Franco Morreale,533 avis ,Italienne  Pizza  Européenne,Nº 143 sur 3 058 Restaurants à Lyon,4.5 ,no,yes,8 € -35 €,45.751338958740234,4.830699920654297,69002  Lyon  
La Cuisine,220 avis ,Française  Européenne  Végétariens bienvenus,Nº 144 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76654815673828,4.83282995223999,69001  Lyon  
Le Ti'Punch de la Reunion,118 avis ,Cajun & Créole,Nº 145 sur 3 057 Restaurants à Lyon,5.0 ,no,no,no information,45.76485824584961,4.833683013916016,69001  Lyon  
La Morille,207 avis ,Française  Européenne,Nº 146 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.759132385253906,4.823150157928467,69005  Lyon  
Le Cocon,263 avis ,Française  Européenne  Végétariens bienvenus,Nº 1 sur 54 Restaurants à Saint-Priest,4.5 ,yes,no,18 € -59 €,45.71573257446289,4.929206848144531,69800 Saint-Priest  Lyon  
