Title,nbrAvis,specialite,ranking,overallRating,wifi,livraison,prix,Latitude,Longitude,district
Poissonnerie Jean Vianey,9 avis ,no information,Nº 1 382 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no information,45.77438735961914,4.830961227416992,69001  Lyon  
Adonys,27 avis ,no information,Nº 1 383 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76668930053711,4.837160110473633,69001  Lyon  
Maison Lefur,9 avis ,Française  Méditerranéenne,Nº 1 384 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76191329956055,4.846983909606934,69003  Lyon  
King Marcel,8 avis ,Française  Américaine  Restauration rapide,Nº 1 385 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76266098022461,4.826900005340576,69005  Lyon  
Mika Sushi,31 avis ,Japonaise  Sushi  Asiatique,Nº 1 386 sur 3 058 Restaurants à Lyon,4.0 ,yes,yes,10 € -20 €,45.76849365234375,4.85646390914917,69006  Lyon  
Bleu Soleil,21 avis ,Française,Nº 1 387 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.759246826171875,4.865160942077637,69003  Lyon  
Macanudo,27 avis ,Latino  Bar  Espagnole,Nº 1 388 sur 3 058 Restaurants à Lyon,4.0 ,yes,yes,4 € -16 €,45.75194549560547,4.840252876281738,69007  Lyon  
Detends-toi encore,128 avis ,Bar,Nº 1 389 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.761531829833984,4.832685947418213,69002  Lyon  
La Cantina,61 avis ,Italienne,Nº 14 sur 54 Restaurants à Saint-Priest,3.5 ,no,no,no information,45.68662643432617,4.9444169998168945,69800 Saint-Priest  Lyon  
Chez Potiron,10 avis ,Française,Nº 1 391 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75284957885742,4.844709873199463,69007  Lyon  
À La Piscine,141 avis ,Française  Européenne,Nº 1 392 sur 3 058 Restaurants à Lyon,3.5 ,no,no,12 € -29 €,45.75194549560547,4.840252876281738,69007  Lyon  
Le Clide,16 avis ,Française  Café,Nº 1 393 sur 3 058 Restaurants à Lyon,4.5 ,no,no,10 € -20 €,45.77476119995117,4.805241107940674,69009  Lyon  
Two Amigos,10 avis ,Mexicaine  Américaine,Nº 1 394 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,13 € -15 €,45.76845932006836,4.827991008758545,69001  Lyon  
Scuzi,12 avis ,no information,Nº 1 395 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75737762451172,4.858113765716553,69003  Lyon  
Café Léone Bodega,62 avis ,Française  Espagnole,Nº 1 396 sur 3 058 Restaurants à Lyon,3.5 ,yes,no,9 € -15 €,45.761531829833984,4.832685947418213,69002  Lyon  
Les BerThoM,26 avis ,no information,Nº 1 397 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76668930053711,4.837160110473633,69001  Lyon  
Accords Gourmands,6 avis ,Française,Nº 1 399 sur 3 057 Restaurants à Lyon,5.0 ,no,yes,12 € -28 €,45.77445983886719,4.808450222015381,69009  Lyon  
Au Jardin d'Anais,38 avis ,no information,Nº 1 399 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.743133544921875,4.870071887969971,69008  Lyon  
Maison Buisson,9 avis ,no information,Nº 1 400 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no information,45.768184661865234,4.858717918395996,69006  Lyon  
Le metropole,15 avis ,Française,Nº 1 401 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.7290153503418,4.830063819885254,69007  Lyon  
Topkapi,16 avis ,no information,Nº 61 sur 204 Restaurants à Villeurbanne,4.5 ,no,no,no information,45.770782470703125,4.86366081237793,69100 Villeurbanne  Lyon  
Brasserie Le Commerce,20 avis ,Française,Nº 1 403 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.77438735961914,4.830961227416992,69004  Lyon  
Assiette et Maree,8 avis ,Fruits de mer & Poisson,Nº 1 404 sur 3 058 Restaurants à Lyon,4.5 ,no,no,12 € -92 €,45.774967193603516,4.847644805908203,69004  Lyon  
Crazy Dog,23 avis ,Bar  Pub  Cuisine de rue (street food),Nº 1 405 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76654815673828,4.83282995223999,69001  Lyon  
Comptoir du Sud,8 avis ,Française,Nº 1 406 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76845932006836,4.827991008758545,69001  Lyon  
Aux Amities Gourmandes chez Klevis,19 avis ,Française  Européenne  Albanaise,Nº 62 sur 204 Restaurants à Villeurbanne,4.0 ,yes,yes,10 € -18 €,45.75360107421875,4.891839981079102,69100 Villeurbanne  Lyon  
Brasserie Gallay,30 avis ,Française,Nº 1 408 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76827621459961,4.848260879516602,69006  Lyon  
Le Marmaris,14 avis ,Restauration rapide  Turque,Nº 1 409 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76654815673828,4.83282995223999,69001  Lyon  
Os Emigrantes,10 avis ,no information,Nº 14 sur 44 Restaurants à Decines-Charpieu,4.5 ,no,no,no information,45.76837158203125,4.938692092895508,69150 Decines-Charpieu  Lyon  
Os Emigrantes,10 avis ,no information,Nº 14 sur 44 Restaurants à Decines-Charpieu,4.5 ,no,no,no information,45.76837158203125,4.938692092895508,69150 Decines-Charpieu  Lyon  
Délices et Sens,118 avis ,Française,Nº 1 411 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.76668930053711,4.837160110473633,69002  Lyon  
Sushi Love,16 avis ,no information,Nº 1 412 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.75360107421875,4.891839981079102,69003  Lyon  
Maison Pupier,14 avis ,Française  Fruits de mer & Poisson,Nº 1 413 sur 3 058 Restaurants à Lyon,4.0 ,no,yes,8 € -52 €,45.76179122924805,4.851607799530029,69003  Lyon  
The Hot Dog Father,11 avis ,Américaine,Nº 1 414 sur 3 058 Restaurants à Lyon,4.5 ,no,yes,3 € -10 €,45.764625549316406,4.841786861419678,69003  Lyon  
Cabalesta,20 avis ,Italienne  Pizza  Traiteur,Nº 15 sur 44 Restaurants à Decines-Charpieu,4.0 ,no,no,no information,45.76837158203125,4.938692092895508,69150 Decines-Charpieu  Lyon  
La Joncque,13 avis ,Chinoise,Nº 1 416 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.77971267700195,4.82665491104126,69004  Lyon  
Cousin Cousine & Co,24 avis ,Française,Nº 1 417 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76668930053711,4.837160110473633,69001  Lyon  
Etcheberry,117 avis ,no information,Nº 1 419 sur 3 057 Restaurants à Lyon,3.5 ,no,no,no information,45.763099670410156,4.8345232009887695,69002  Lyon  
Mezo Mada,13 avis ,no information,Nº 1 419 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77438735961914,4.830961227416992,69004  Lyon  
Thai Suois,30 avis ,Asiatique  Thaï,Nº 1 420 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.7546501159668,4.84443998336792,69003  Lyon  
La Derniere Seance,37 avis ,Italienne,Nº 1 421 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.74885177612305,4.839950084686279,69007  Lyon  
Sushi Ramen,17 avis ,no information,Nº 63 sur 204 Restaurants à Villeurbanne,4.0 ,no,no,no information,45.770782470703125,4.86366081237793,69100 Villeurbanne  Lyon  
Arcadius,173 avis ,Italienne,Nº 6 sur 15 Restaurants à Francheville,3.5 ,no,no,no information,45.740516662597656,4.780288219451904,69340 Francheville  Lyon  
